#{"t_start": 1673296113.9404616, "env_id": "WurtzReact-v1"}
r,l,t
0.082457,50,5.210054
0.077094,50,9.580848
0.076693,50,14.203291
0.079386,50,18.63534
0.079036,50,23.073532
0.179646,50,27.517461
0.12231,50,31.954434
0.404191,50,36.400401
0.160825,50,40.841751
0.082069,50,45.259461
0.082661,50,49.745577
0.082772,50,54.159876
0.087092,50,58.622718
0.07989,50,63.05252
0.072398,50,67.506514
0.080331,50,71.952763
0.076665,50,76.387084
0.091477,50,80.829552
0.091387,50,85.274147
0.079787,50,89.68254
0.081019,50,94.134511
0.101693,50,98.556896
0.062043,50,102.995673
0.122874,50,107.431699
0.077522,50,111.877028
0.062075,50,116.307596
0.117643,50,120.7429
0.106232,50,125.162718
0.094448,50,129.635544
0.060353,50,134.049694
0.071919,50,138.53177
0.04526,50,142.945678
0.124106,50,147.402623
0.081368,50,151.857399
0.087613,50,156.340153
0.107128,50,160.786017
0.098098,50,165.22895
0.083961,50,169.635009
0.020058,50,174.107116
0.098803,50,178.522673
0.070741,50,182.998172
0.067422,50,187.397405
0.05434,50,191.843657
0.064819,50,196.282428
0.081064,50,200.740036
0.084931,50,205.143225
0.0844,50,209.605089
0.035835,50,214.028036
0.067191,50,218.498532
0.087246,50,222.92714
0.090569,50,227.368405
0.062042,50,231.817272
0.0854,50,236.266075
0.057376,50,240.716424
0.052837,50,245.157817
0.076561,50,249.570086
0.091967,50,254.047389
0.075511,50,258.459296
0.074436,50,262.92051
0.041055,50,267.347916
0.108133,50,271.805601
0.134635,50,276.237291
0.062596,50,280.686986
0.013132,50,285.174402
0.096905,50,289.624052
0.140341,50,294.03105
0.084113,50,298.508443
0.100812,50,302.933564
0.038921,50,307.377656
0.072699,50,311.827854
0.038761,50,316.297291
0.071271,50,320.738064
0.067295,50,325.184821
0.070712,50,329.591903
0.08072,50,334.053399
0.030197,50,338.481254
0.09057,50,342.963864
0.081229,50,347.406011
0.036313,50,351.919029
0.101253,50,356.494924
0.070424,50,360.95183
0.15108,50,365.405004
0.090224,50,369.852271
0.0859,50,374.263534
0.067334,50,378.729118
0.000666,50,383.177928
0.077137,50,387.750321
0.062716,50,392.646765
0.033049,50,397.47213
0.03916,50,402.241037
0.149741,50,407.053993
0.076686,50,411.90273
0.04346,50,416.858733
0.038568,50,421.798344
0.155648,50,426.795312
0.050182,50,431.752651
0.087656,50,436.677502
0.102462,50,441.594173
0.125988,50,446.470967
0.051274,50,451.314378
0.093376,50,456.231913
0.078236,50,461.051319
0.085596,50,466.004572
0.082301,50,470.81856
0.18068,50,475.719224
0.08288,50,480.75065
0.081033,50,485.741513
0.107984,50,490.688897
0.060325,50,495.607168
0.084038,50,500.521673
0.067182,50,505.544811
0.066978,50,510.461646
0.079655,50,515.322418
0.096212,50,519.995556
0.081837,50,524.454813
0.051806,50,528.885992
0.013247,50,533.338803
0.076958,50,537.768177
0.094025,50,542.225121
0.087597,50,546.621489
0.078098,50,551.080444
0.082054,50,555.497084
0.082748,50,559.966113
0.024947,50,564.423775
0.128394,50,568.883556
0.081966,50,573.328755
0.038613,50,577.760559
0.074228,50,582.176678
0.087497,50,586.641431
0.156328,50,591.062387
0.088179,50,595.54404
0.103691,50,599.964372
0.083136,50,604.416018
0.083667,50,608.856491
0.071347,50,613.305941
0.080999,50,617.7561
0.039815,50,622.193573
0.078762,50,626.604975
0.136102,50,631.076381
0.053695,50,635.505998
0.059666,50,639.971932
0.020126,50,644.380092
0.074452,50,648.839236
0.170017,50,653.276411
0.004353,50,657.70767
0.07988,50,662.14205
0.052755,50,666.567123
0.083089,50,670.97948
0.099542,50,675.448237
0.069448,50,679.86987
0.068547,50,684.323079
0.079662,50,688.755158
0.036712,50,693.215213
0.049751,50,697.651466
0.091108,50,702.097465
0.081955,50,706.517956
0.001888,50,710.989938
0.11544,50,715.407925
0.111405,50,719.872111
0.090552,50,724.313993
0.080283,50,728.759774
0.107233,50,733.196246
0.096911,50,737.639286
0.081784,50,742.073661
0.0719,50,746.505066
0.098922,50,750.918207
0.067079,50,755.369847
0.098317,50,759.794647
0.116166,50,764.276464
0.052007,50,768.698211
0.047421,50,773.160069
0.088909,50,777.615968
0.080965,50,782.067234
0.078652,50,786.489491
0.074655,50,790.96841
0.067751,50,795.384085
0.108967,50,799.832118
0.051153,50,804.241749
0.071942,50,808.692185
0.095397,50,813.128652
0.054415,50,817.576471
0.065686,50,822.026669
0.037815,50,826.467455
0.084562,50,830.876992
0.094756,50,835.328743
0.055916,50,839.749559
0.104651,50,844.21699
0.078327,50,848.64156
0.083048,50,853.079165
0.081829,50,857.518414
0.08369,50,861.964345
0.051625,50,866.378722
0.035093,50,870.838639
0.047554,50,875.272825
0.018202,50,879.736056
0.037624,50,884.154176
0.11825,50,888.7239
0.091088,50,893.3299
0.064821,50,897.848708
0.109566,50,902.319897
0.077095,50,906.78889
0.030704,50,911.204047
0.125481,50,915.689539
0.088239,50,920.111134
0.042123,50,924.572054
0.054684,50,929.006157
0.082707,50,933.468022
0.072006,50,937.955243
0.041724,50,942.410582
0.093515,50,946.853992
0.045599,50,951.314581
0.083387,50,955.74829
0.052846,50,960.247406
0.058553,50,964.694325
0.022454,50,969.156397
0.013499,50,973.659909
0.023163,50,978.105546
0.066291,50,982.567137
0.063192,50,987.00649
0.030219,50,991.408896
0.069857,50,995.905896
0.026154,50,1000.354665
0.080925,50,1004.837908
0.062321,50,1009.273502
0.000938,50,1013.745803
0.029372,50,1018.210885
0.123544,50,1022.666351
0.081141,50,1027.111439
0.065702,50,1031.598004
0.095672,50,1036.030625
0.012814,50,1040.525735
0.057311,50,1044.952018
0.03388,50,1049.42556
0.041323,50,1053.863947
0.068864,50,1058.311268
0.061529,50,1062.770142
0.082215,50,1067.22989
0.037174,50,1071.65418
0.033504,50,1076.13086
0.039941,50,1080.547033
0.016899,50,1085.050852
0.001507,50,1089.48081
0.052026,50,1093.941309
0.004892,50,1098.420477
0.061412,50,1102.882774
0.123997,50,1107.338809
0.133101,50,1111.816899
0.008081,50,1116.246979
0.068687,50,1120.738865
0.000801,50,1125.180116
0.006058,50,1129.68055
0.004041,50,1134.111326
0.063982,50,1138.589876
0.001354,50,1143.059675
0.025471,50,1147.553454
0.08119,50,1151.975968
0.066408,50,1156.433386
0.007653,50,1160.857992
0.014104,50,1165.350672
0.052209,50,1169.789656
0.075934,50,1174.267693
0.004604,50,1178.708565
0.039855,50,1183.16378
0.070351,50,1187.625574
0.005681,50,1192.120952
0.078542,50,1196.550111
0.077106,50,1201.007156
0.026523,50,1205.444572
0.008507,50,1209.933353
0.092611,50,1214.356511
0.00015,50,1218.827975
0.026062,50,1223.269081
0.000826,50,1227.722443
0.034259,50,1232.17409
0.043083,50,1236.619523
0.001366,50,1241.044979
0.018773,50,1245.524234
0.059308,50,1249.955454
0.054642,50,1254.425816
0.015763,50,1258.873855
0.079731,50,1263.341719
0.025051,50,1267.772432
0.114632,50,1272.21976
0.013551,50,1276.659196
0.045599,50,1281.175897
0.081383,50,1285.601595
0.207168,50,1290.131428
0.092198,50,1294.605456
0.081651,50,1299.073939
0.130294,50,1303.540798
0.068165,50,1308.009089
0.024246,50,1312.488458
0.006419,50,1316.952644
0.048764,50,1321.389629
0.000188,50,1325.873681
0.030982,50,1330.304708
0.073706,50,1334.807044
0.040003,50,1339.224007
0.062714,50,1343.699725
0.117088,50,1348.142019
0.037715,50,1352.615543
0.002882,50,1357.063599
0.03794,50,1361.557576
0.011139,50,1365.984757
0.038074,50,1370.462275
0.005002,50,1374.892891
0.033983,50,1379.361913
0.117362,50,1383.809902
0.105259,50,1388.24806
0.007868,50,1392.703893
0.019485,50,1397.158371
0.0,50,1401.611977
0.040797,50,1406.098941
0.0,50,1410.5591
0.035017,50,1415.043974
0.003545,50,1419.490927
0.015078,50,1423.949482
0.001607,50,1428.424212
0.0,50,1432.897959
0.001839,50,1437.357325
0.00442,50,1441.828102
0.087363,50,1446.259721
0.023755,50,1450.743909
0.051082,50,1455.174431
0.069087,50,1459.656889
0.064394,50,1464.090753
0.045457,50,1468.551979
0.001721,50,1472.984343
0.02138,50,1477.420763
0.051581,50,1481.843406
0.070194,50,1486.343076
0.071553,50,1490.794151
0.062831,50,1495.305341
0.012995,50,1499.740196
0.018092,50,1504.211651
0.020784,50,1508.649628
0.056927,50,1513.123244
0.007399,50,1517.574972
0.049961,50,1522.030492
0.021512,50,1526.456764
0.101239,50,1530.915254
0.044988,50,1535.376922
0.077262,50,1539.855918
0.020224,50,1544.298608
0.092594,50,1548.781086
0.094259,50,1553.242041
0.002185,50,1557.680968
0.088345,50,1562.1073
0.055679,50,1566.613632
0.065089,50,1571.064065
0.064843,50,1575.566191
0.110814,50,1580.050873
0.04696,50,1584.528981
0.084507,50,1589.011404
0.06416,50,1593.491205
0.088624,50,1597.919739
0.066626,50,1602.366159
0.081063,50,1606.859251
0.122859,50,1611.355141
0.196966,50,1615.797303
0.059273,50,1620.294756
0.079114,50,1624.734469
0.067376,50,1629.210173
0.077153,50,1633.684987
0.046434,50,1638.151986
0.038425,50,1642.565236
0.049192,50,1647.033416
0.068502,50,1651.455748
0.077231,50,1655.959704
0.0461,50,1660.408914
0.025786,50,1664.898859
0.185248,50,1669.352873
0.039511,50,1673.82565
0.022185,50,1678.269732
0.062223,50,1682.710616
0.024711,50,1687.139882
0.008373,50,1691.637167
0.040951,50,1696.069385
0.01934,50,1700.560078
0.019333,50,1705.015584
0.060287,50,1709.488931
0.060127,50,1713.938562
0.003244,50,1718.430139
0.074742,50,1722.872359
0.05752,50,1727.345371
0.05336,50,1731.778353
0.082337,50,1736.271052
0.051366,50,1740.721402
0.074054,50,1745.183491
0.062639,50,1749.647144
0.075825,50,1754.126367
0.066488,50,1758.566967
0.073266,50,1763.024129
0.150256,50,1767.459147
0.085691,50,1771.957151
0.068541,50,1776.376037
0.022438,50,1780.858327
0.058079,50,1785.29843
0.000519,50,1789.767052
0.097379,50,1794.256419
0.019448,50,1798.733757
0.208317,50,1803.183054
0.070852,50,1807.64544
0.080589,50,1812.060906
0.089886,50,1816.551944
0.124764,50,1820.998197
0.075859,50,1825.48233
0.054568,50,1829.948977
0.071006,50,1834.407281
0.096629,50,1838.870955
0.04048,50,1843.326071
0.073716,50,1847.752051
0.122272,50,1852.242397
0.022495,50,1856.686969
0.039541,50,1861.171643
0.027597,50,1865.600708
0.062045,50,1870.03688
0.014532,50,1874.494701
0.0,50,1878.938331
0.013303,50,1883.372403
0.085981,50,1887.840463
0.017893,50,1892.263124
0.063194,50,1896.749446
0.057749,50,1901.210932
0.00043,50,1905.692632
0.050976,50,1910.137216
0.036783,50,1914.597421
0.080994,50,1919.053308
0.028126,50,1923.517213
0.068854,50,1927.940815
0.069974,50,1932.436727
0.03595,50,1936.854071
0.064482,50,1941.336639
0.079984,50,1945.809648
0.062482,50,1950.280466
0.053862,50,1954.74368
0.004138,50,1959.220681
0.079203,50,1963.668478
0.045209,50,1968.117401
0.068675,50,1972.539689
0.114205,50,1977.087968
0.027459,50,1981.494822
0.080778,50,1985.996382
0.061783,50,1990.468522
0.017577,50,1994.938748
0.080132,50,1999.395636
0.046839,50,2003.881274
0.050799,50,2008.312846
0.075652,50,2012.803896
0.037105,50,2017.231861
0.127883,50,2021.747051
0.081696,50,2026.202458
0.057781,50,2030.664707
0.038863,50,2035.149835
0.108267,50,2039.579398
0.078889,50,2044.030791
0.062247,50,2048.515794
0.115976,50,2052.969658
0.081082,50,2057.480946
0.038269,50,2061.915508
0.061592,50,2066.397721
0.030047,50,2070.844412
0.04821,50,2075.309805
0.044432,50,2079.79212
0.049219,50,2084.267493
0.067835,50,2088.70325
0.051667,50,2093.167986
0.006044,50,2097.581918
0.184401,50,2102.09173
0.011014,50,2106.534779
0.037396,50,2111.001357
0.148715,50,2115.473606
0.046621,50,2119.936389
0.05224,50,2124.378311
0.079838,50,2128.831179
0.049715,50,2133.265197
0.080616,50,2137.752151
0.008882,50,2142.181584
0.031094,50,2146.687876
0.129356,50,2151.128587
0.002156,50,2155.596645
0.082614,50,2160.051547
0.116679,50,2164.494853
0.108288,50,2168.941833
0.04938,50,2173.398891
0.058146,50,2177.811558
0.038694,50,2182.305203
0.029407,50,2186.797305
0.012923,50,2191.274778
0.081987,50,2195.686976
0.078425,50,2200.113525
0.028734,50,2204.538571
0.06155,50,2208.97875
0.047242,50,2213.378111
0.020914,50,2217.843685
0.094385,50,2222.281057
0.010328,50,2226.746003
0.004952,50,2231.182488
0.149606,50,2235.6381
