#{"t_start": 1673978156.207302, "env_id": "WurtzReact-v1"}
r,l,t
0.065009,50,3.919394
0.104811,50,6.653929
0.150101,50,14.489307
0.081798,50,17.305673
0.082036,50,20.13813
0.088518,50,22.943888
0.07664,50,25.746574
0.091314,50,28.680515
0.080935,50,31.48896
0.078965,50,34.29218
0.267444,50,37.100977
0.09947,50,39.904611
0.076098,50,42.732084
0.07717,50,45.534393
0.070943,50,48.341077
0.074466,50,51.146401
0.075494,50,53.954033
0.084464,50,56.755245
0.079595,50,59.560954
0.090454,50,62.361015
0.061785,50,65.16229
0.092316,50,67.963268
0.102879,50,70.776762
0.073968,50,73.590503
0.1239,50,76.407284
0.097442,50,79.216219
0.080568,50,82.031768
0.090141,50,84.845871
0.080443,50,87.662823
0.085251,50,90.470552
0.081913,50,93.283176
0.086604,50,96.09076
0.101548,50,98.911266
0.081131,50,101.726704
0.076056,50,104.538316
0.075303,50,107.346997
0.086771,50,110.164737
0.080501,50,112.97829
0.089042,50,115.791222
0.082451,50,118.610203
0.0885,50,121.429468
0.075066,50,124.247151
0.095892,50,127.069976
0.075698,50,129.889068
0.082884,50,132.712079
0.07831,50,135.528415
0.082632,50,138.34324
0.080316,50,141.158412
0.09518,50,143.981344
0.082744,50,146.801862
0.079804,50,149.621973
0.081278,50,152.43581
0.106914,50,155.247124
0.085087,50,158.063589
0.079683,50,160.886492
0.08518,50,163.699206
0.080521,50,166.52209
0.08139,50,169.339185
0.084235,50,172.162502
0.087657,50,174.973302
0.080902,50,177.797224
0.096922,50,180.613146
0.081397,50,183.429381
0.079791,50,186.251266
0.080083,50,189.074113
0.081994,50,191.89285
0.080975,50,194.714832
0.082393,50,197.536816
0.079693,50,200.357936
0.079573,50,203.173683
0.085085,50,205.99393
0.079934,50,208.809103
0.07765,50,211.618547
0.081221,50,214.42738
0.080162,50,217.239897
0.075206,50,220.05071
0.075236,50,222.869503
0.077088,50,225.684839
0.081228,50,228.504298
0.085442,50,231.321759
0.046932,50,234.138929
0.08597,50,236.949387
0.078191,50,239.768809
0.095218,50,242.579374
0.081077,50,245.400542
0.086443,50,248.208319
0.084763,50,251.021732
0.078787,50,253.836467
0.080802,50,256.650919
0.081805,50,259.464586
0.073604,50,262.2838
0.080034,50,265.10165
0.082001,50,267.924938
0.08134,50,270.745216
0.097742,50,273.562031
0.082649,50,276.378235
0.085168,50,279.192799
0.087144,50,282.007667
0.107252,50,284.825929
0.105807,50,287.637905
0.112512,50,290.46066
0.156477,50,293.284835
0.151426,50,296.105431
0.111451,50,298.924775
0.086884,50,301.761419
0.131886,50,304.580385
0.087414,50,307.39866
0.106431,50,310.216249
0.123984,50,313.034782
0.115188,50,315.852389
0.10034,50,318.665648
0.122651,50,321.468815
0.08641,50,324.290413
0.108119,50,327.099509
0.081662,50,329.924023
0.083654,50,332.735896
0.089433,50,335.548783
0.081559,50,338.351302
0.083989,50,341.156506
0.081457,50,343.975931
0.081023,50,346.803561
0.082192,50,349.626984
0.081559,50,352.44273
0.08123,50,355.260429
0.082116,50,358.084918
0.081046,50,360.899246
0.079105,50,363.724254
0.08154,50,366.552441
0.080927,50,369.381556
0.075623,50,372.207407
0.081377,50,375.027733
0.08255,50,377.85576
0.081411,50,380.676715
0.082614,50,383.496408
0.081394,50,386.326425
0.080907,50,389.151857
0.080165,50,391.978252
0.085913,50,394.800143
0.080908,50,397.632982
0.080465,50,400.461221
0.081082,50,403.295195
0.082614,50,406.11674
0.081069,50,408.941579
0.074303,50,411.761593
0.081295,50,414.583775
0.080168,50,417.401299
0.08049,50,420.234039
0.080805,50,423.054987
0.080742,50,425.87997
0.082464,50,428.699508
0.080434,50,431.526407
0.078259,50,434.351619
0.082087,50,437.178791
0.07571,50,440.005311
0.080908,50,442.823158
0.080229,50,445.64743
0.081489,50,448.478959
0.0801,50,451.302667
0.07131,50,454.132293
0.079053,50,456.961191
0.081971,50,459.785754
0.075384,50,462.608282
0.077535,50,465.429341
0.081107,50,468.252819
0.079353,50,471.084674
0.066717,50,473.911294
0.0788,50,476.7395
0.078684,50,479.562947
0.078503,50,482.389918
0.077149,50,485.214537
0.079508,50,488.045143
0.082497,50,490.875433
0.079701,50,493.705814
0.078295,50,496.530105
0.079622,50,499.355339
0.079354,50,502.185178
0.077515,50,505.013476
0.081707,50,507.841016
0.07657,50,510.666431
0.080166,50,513.48752
0.079798,50,516.323904
0.079217,50,519.147844
0.078884,50,521.976002
0.076439,50,524.804919
0.080571,50,527.630094
0.072668,50,530.45835
0.076703,50,533.279485
0.079826,50,536.101014
0.079878,50,538.928977
0.081375,50,541.758904
0.074847,50,544.58881
0.081697,50,547.418976
0.079231,50,550.248046
0.080738,50,553.072122
0.080395,50,555.901455
0.079419,50,558.733406
0.08198,50,561.56531
0.079628,50,564.387836
