#{"t_start": 1635706876.9546955, "env_id": "WurtzReact-v1"}
r,l,t
0.482907,20,2.618834
0.702059,20,4.495848
0.860441,20,6.372756
0.865601,20,8.243915
0.901483,20,10.120325
0.926744,20,12.018022
0.966013,20,13.893364
0.999697,20,15.779666
1.002415,20,17.647711
1.012425,20,19.51187
1.039872,20,21.389099
1.053047,20,23.29892
1.052162,20,25.168083
1.053101,20,27.040663
1.057896,20,28.93148
1.069047,20,30.800784
1.065202,20,32.678487
1.084507,20,34.563972
1.091748,20,36.431735
1.089797,20,38.310625
1.119568,20,40.20076
1.118887,20,42.076192
1.109805,20,43.959337
1.109693,20,45.841094
1.112044,20,47.713045
1.109051,20,49.588574
1.107164,20,51.468045
1.109121,20,53.330541
1.11655,20,55.212652
1.112783,20,57.103833
1.112205,20,58.973575
1.110659,20,60.850905
1.107448,20,62.741393
1.108875,20,64.604567
1.108863,20,66.478976
1.11684,20,68.367732
1.115673,20,70.235071
1.118701,20,72.115405
1.115931,20,74.002252
1.118515,20,75.877123
1.121036,20,77.741116
1.11794,20,79.612931
1.121132,20,81.483351
1.117806,20,83.352297
1.115113,20,85.245001
1.117787,20,87.116348
1.114804,20,88.98873
1.114679,20,90.879097
1.116211,20,92.743757
1.113527,20,94.613961
1.113287,20,96.56991
1.112816,20,98.450386
1.112417,20,100.345298
1.111304,20,102.223197
1.109882,20,104.108131
1.108975,20,105.992724
1.111406,20,107.873462
1.112718,20,109.765236
1.118381,20,111.661844
1.121399,20,113.541104
1.120674,20,115.420166
1.120983,20,117.309061
1.122131,20,119.189541
1.121636,20,121.08091
1.122965,20,122.977273
1.124235,20,124.85753
1.123577,20,126.745028
1.124072,20,128.618524
1.123492,20,130.491348
1.124124,20,132.377896
1.125518,20,134.270658
1.126076,20,136.151386
1.125901,20,138.036027
1.124069,20,139.93299
1.124156,20,141.811694
1.122184,20,143.697464
1.122013,20,145.593009
1.123794,20,147.467507
1.122539,20,149.352036
1.121061,20,151.245763
1.119239,20,153.113997
1.119074,20,154.990287
1.118763,20,156.896533
1.119284,20,158.778309
1.120241,20,160.671244
1.121515,20,162.572663
1.122524,20,164.454683
1.12208,20,166.342753
1.12094,20,168.242573
1.119172,20,170.117753
1.119738,20,171.988623
1.120238,20,173.881887
1.11997,20,175.759587
1.121839,20,177.640884
