#{"t_start": 1673313218.4426527, "env_id": "GenWurtzReact-v1"}
r,l,t
0.444917,20,2.703129
0.245195,20,4.506929
0.228738,20,6.288321
0.221653,20,8.092821
0.222604,20,9.893091
0.236656,20,11.740639
0.265969,20,13.561214
0.213556,20,15.377987
0.236584,20,17.209247
0.326573,20,19.044566
0.23292,20,20.866831
0.241171,20,22.675613
0.204406,20,24.479827
0.239447,20,26.277889
2.853668,20,28.082203
0.271029,20,29.90923
0.016951,20,31.755178
2.991721,20,33.569965
0.261004,20,35.377961
2.952323,20,37.190541
0.222889,20,39.025914
0.252489,20,40.825848
0.053757,20,42.655543
0.279683,20,44.493051
0.215977,20,46.298974
2.944764,20,48.121862
0.250105,20,49.940501
0.394433,20,51.754062
0.244528,20,53.564731
0.355185,20,55.39071
0.235526,20,57.206265
2.805969,20,59.009353
0.237394,20,60.811266
0.229087,20,62.620576
0.337189,20,64.466579
0.18418,20,66.289967
2.874263,20,68.092165
0.237059,20,69.892903
0.363032,20,71.71484
0.252169,20,73.513571
0.21456,20,75.340614
2.864378,20,77.150817
2.899654,20,78.945261
0.209511,20,80.756034
0.187554,20,82.566852
0.230415,20,84.398955
0.234126,20,86.196481
0.269753,20,87.998653
0.244555,20,89.797897
0.247987,20,91.601864
0.247751,20,93.421578
0.048573,20,95.240891
0.225816,20,97.041098
2.99893,20,98.868233
0.109313,20,100.695878
0.281878,20,102.528814
0.249103,20,104.342054
2.792304,20,106.145459
2.952991,20,107.953127
0.236827,20,109.754121
0.272626,20,111.586498
0.280633,20,113.43434
2.999995,20,115.308605
0.231064,20,117.117824
0.100099,20,118.952046
2.920255,20,120.780407
0.170078,20,122.585046
0.241513,20,124.388005
2.898111,20,126.183455
0.159526,20,128.015438
0.022982,20,129.922417
0.095292,20,131.76016
0.227026,20,133.559315
0.31404,20,135.380524
0.224535,20,137.168114
0.25568,20,138.974881
0.183792,20,140.822559
0.28447,20,142.617825
0.208802,20,144.410589
0.445989,20,146.248741
0.237491,20,148.073303
0.250685,20,149.871357
2.862912,20,151.66518
0.223184,20,153.463447
0.244947,20,155.259628
0.240092,20,157.065175
0.238807,20,158.872496
0.212049,20,160.661572
0.268683,20,162.46373
0.243524,20,164.265968
0.243999,20,166.082067
0.214761,20,167.880294
2.902942,20,169.689265
0.236955,20,171.492507
2.951114,20,173.321466
0.257241,20,175.140595
0.290558,20,176.92774
0.220999,20,178.732339
0.236754,20,180.534321
0.226671,20,182.327488
0.232202,20,184.144153
0.290558,20,185.951218
0.188701,20,187.783561
2.975411,20,189.594102
0.216147,20,191.422413
2.683184,20,193.239827
2.857143,20,195.037338
0.242822,20,196.832227
0.260918,20,198.623619
0.194866,20,200.449424
0.010248,20,202.329846
0.197019,20,204.13837
0.248345,20,205.937927
0.205205,20,207.760745
0.257103,20,209.552424
0.245021,20,211.36855
0.232869,20,213.183811
0.237351,20,214.98214
0.169369,20,216.808325
0.351722,20,218.608437
0.231798,20,220.429846
0.050522,20,222.25073
2.852925,20,224.045551
0.211598,20,225.853745
0.232892,20,227.662874
0.23852,20,229.483693
0.259875,20,231.28933
0.03528,20,233.129426
0.221849,20,234.929602
0.223705,20,236.737851
0.208755,20,238.548511
0.181533,20,240.364355
0.245593,20,242.170754
0.0,20,244.105331
0.454306,20,245.934027
0.243782,20,247.749003
0.211465,20,249.557935
0.264087,20,251.362601
0.209928,20,253.166416
0.224845,20,254.966993
0.23635,20,256.794461
0.232374,20,258.604411
0.271718,20,260.409475
0.127111,20,262.231713
0.23444,20,264.032976
0.387776,20,265.844307
0.241651,20,267.656138
0.231877,20,269.462843
2.526468,20,271.296346
0.229599,20,273.101588
0.23084,20,274.9176
0.209521,20,276.711701
0.262167,20,278.512931
0.245549,20,280.318006
2.904458,20,282.127807
2.554307,20,283.95661
0.194084,20,285.758723
0.263204,20,287.556812
0.294355,20,289.354029
0.182959,20,291.159145
0.226017,20,292.972768
0.292017,20,294.795246
0.305787,20,296.596686
0.24045,20,298.393538
0.010339,20,300.222625
0.247902,20,302.042392
0.228912,20,303.836994
2.999998,20,305.740076
2.832316,20,307.552035
0.293517,20,309.384421
0.211752,20,311.19775
0.258966,20,313.030033
0.23359,20,314.824724
0.262307,20,316.619309
0.206087,20,318.428011
0.233615,20,320.240426
0.208714,20,322.061912
0.238916,20,323.86703
0.268376,20,325.676163
0.221517,20,327.484828
0.261967,20,329.31449
0.001801,20,331.140842
0.240319,20,332.939831
0.201453,20,334.742154
0.24145,20,336.55026
1.177775,20,338.408418
0.434829,20,340.21381
0.107124,20,342.090509
0.232782,20,343.881829
0.226975,20,345.687789
0.210484,20,347.498309
0.223759,20,349.315313
2.890767,20,351.122334
0.169681,20,352.926008
0.259535,20,354.724155
0.248943,20,356.543868
0.236274,20,358.340786
0.198976,20,360.158953
0.226153,20,361.963789
0.015154,20,363.803776
2.825095,20,365.617352
0.24992,20,367.421812
0.24519,20,369.230887
0.194467,20,371.054072
2.818412,20,372.857153
0.240205,20,374.667662
0.237832,20,376.48374
0.205368,20,378.280022
0.09104,20,380.091664
0.246148,20,381.906126
0.230308,20,383.730958
0.292199,20,385.519426
