#{"t_start": 1674007728.5418468, "env_id": "WurtzDistill-v1"}
r,l,t
0.2,8,1.544297
0.2,3,1.558752
0.2,3,1.57519
0.2,1,1.576723
0.2,2,1.584731
0.2,6,1.621897
0.2,1,1.623426
0.2,2,1.631329
0.2,2,1.641994
0.2,2,1.652671
0.2,5,1.684739
0.2,4,1.706487
0.2,2,1.716421
0.2,6,1.749542
0.2,2,1.757494
0.2,2,1.765383
0.2,2,1.776147
0.2,4,1.796364
0.2,1,1.797897
0.2,1,1.799417
0.2,3,1.810763
0.2,1,1.812322
0.2,3,1.826032
0.2,3,1.84215
0.2,3,1.856485
-0.8,12,1.919132
0.2,6,1.956778
-1.8,18,2.074831
0.2,7,2.1132
0.2,6,2.152724
0.2,10,2.221181
0.2,5,2.247861
0.2,9,2.311503
0.2,1,2.313043
0.2,1,2.314567
0.2,1,2.3161
0.2,3,2.329867
0.2,3,2.344282
0.2,6,2.382027
0.2,6,2.425074
0.2,8,2.470074
0.2,4,2.495561
0.2,6,2.531575
0.2,7,2.574601
0.2,16,2.681982
0.2,13,2.774085
0.2,6,2.810318
0.2,4,2.830527
0.2,2,2.841155
0.2,15,2.936911
0.2,5,2.968805
0.2,2,2.979465
0.2,3,2.998395
0.2,5,3.030268
0.2,5,3.053376
0.2,3,3.067852
0.2,5,3.099187
0.2,4,3.122247
0.2,6,3.155397
0.2,1,3.156943
0.2,3,3.174042
0.2,3,3.193905
0.2,4,3.216533
0.2,2,3.224446
0.2,2,3.232425
0.2,3,3.2494
0.2,2,3.256806
0.2,5,3.288776
0.2,13,3.368593
0.2,18,3.476275
0.2,2,3.484292
0.2,1,3.485821
0.2,2,3.493788
0.2,2,3.50175
0.2,3,3.513218
0.2,8,3.56128
0.2,2,3.569214
0.2,6,3.601608
0.2,6,3.641445
0.2,6,3.674725
0.2,8,3.729605
0.2,3,3.744045
0.2,4,3.771033
0.2,1,3.772575
0.2,3,3.786355
0.2,4,3.821977
0.2,6,3.862598
-0.8,17,3.975528
0.2,2,3.985504
0.2,5,4.015086
0.2,2,4.025137
0.2,1,4.026675
0.2,2,4.0346
0.2,3,4.051734
-0.8,13,4.144269
0.2,13,4.227674
0.2,6,4.256629
0.2,3,4.271013
0.2,14,4.36856
0.2,5,4.398619
0.2,1,4.400164
0.2,2,4.407461
0.2,1,4.409003
0.2,2,4.41698
0.2,1,4.421246
0.2,2,4.429261
0.2,9,4.481985
0.2,2,4.489998
0.2,3,4.505887
0.2,3,4.519673
0.2,7,4.565373
0.2,1,4.566913
0.2,4,4.587697
