#{"t_start": 1635719273.7741396, "env_id": "WurtzReact-v1"}
r,l,t
0.25849,20,2.582593
0.633115,20,4.438056
0.797187,20,6.303956
0.895833,20,8.186381
0.911553,20,10.048207
0.934252,20,11.924197
0.973342,20,13.973997
0.996948,20,15.82919
1.009165,20,17.688196
1.011423,20,19.563672
1.020428,20,21.42823
1.026451,20,23.297664
1.04924,20,25.18648
1.060469,20,27.044955
1.064067,20,28.915258
1.074224,20,30.796831
1.07491,20,32.664949
1.072292,20,34.540204
1.073705,20,36.430303
1.077938,20,38.312341
1.087153,20,40.174223
1.09868,20,42.052156
1.090626,20,43.911458
1.093532,20,45.785227
1.091093,20,47.662415
1.089559,20,49.537476
1.099702,20,51.408514
1.104207,20,53.272475
1.10531,20,55.135495
1.114601,20,56.998938
1.114178,20,58.884229
1.11533,20,60.732635
1.114297,20,62.612055
1.114031,20,64.492813
1.11022,20,66.354475
1.104367,20,68.216527
1.102617,20,70.095661
1.101742,20,71.953874
1.104817,20,73.848732
1.106248,20,75.723935
1.106422,20,77.581549
1.106501,20,79.42985
1.112468,20,81.295552
1.11196,20,83.148945
1.108968,20,85.037498
1.105591,20,86.91756
1.105411,20,88.777352
1.103363,20,90.643273
1.103519,20,92.526203
1.100107,20,94.388542
1.102875,20,96.306591
1.103866,20,98.210864
1.104716,20,100.091066
1.103406,20,101.959837
1.107072,20,103.840173
1.108756,20,105.728046
1.11163,20,107.600292
1.109093,20,109.503923
1.10913,20,111.388728
1.108525,20,113.2657
1.108276,20,115.152142
1.106793,20,117.044602
1.106761,20,118.919458
1.105902,20,120.813068
1.106265,20,122.72202
1.108187,20,124.590465
1.10894,20,126.470842
1.110162,20,128.36069
1.110816,20,130.239459
1.113638,20,132.125063
1.114418,20,134.051005
1.11391,20,135.931279
1.110904,20,137.826452
1.112348,20,139.715829
1.116163,20,141.599528
1.116705,20,143.487854
1.117355,20,145.404219
1.117301,20,147.28168
1.117662,20,149.168131
1.117833,20,151.073814
1.117021,20,152.945723
1.116307,20,154.826764
1.113901,20,156.726
1.11379,20,158.622857
1.114327,20,160.510533
1.115909,20,162.406058
1.115469,20,164.275615
1.116746,20,166.152777
1.118776,20,168.038671
1.11886,20,169.941673
1.120198,20,171.825714
1.12117,20,173.717408
1.120026,20,175.602424
1.121272,20,177.490939
1.121951,20,179.381095
1.123117,20,181.259218
1.122998,20,183.16112
1.123593,20,185.043713
1.125806,20,186.918471
1.125943,20,188.803646
1.125951,20,190.70969
1.126252,20,192.596162
1.125495,20,194.50635
1.126217,20,196.387946
1.128315,20,198.277643
1.128991,20,200.169867
1.128358,20,202.048456
1.12765,20,203.937619
1.126673,20,205.859734
1.125767,20,207.729924
1.125272,20,209.620628
1.128076,20,211.509704
1.126228,20,213.391996
1.124744,20,215.273762
1.124596,20,217.163763
1.123645,20,219.063412
1.122608,20,220.95497
1.121916,20,222.850135
1.122886,20,224.72679
1.122471,20,226.615758
1.121796,20,228.500881
1.121712,20,230.40484
1.122234,20,232.295396
1.121543,20,234.192646
1.12228,20,236.07008
1.121494,20,237.961932
1.120695,20,239.854283
1.120623,20,241.731194
1.123396,20,243.632406
1.122545,20,245.519407
1.121125,20,247.395583
1.120453,20,249.269741
1.119999,20,251.167466
1.120149,20,253.057267
1.122386,20,254.965594
1.122662,20,256.870475
1.121833,20,258.75162
1.121521,20,260.632264
1.120863,20,262.544307
1.12076,20,264.427989
1.119731,20,266.342884
1.119374,20,268.237056
1.119688,20,270.112645
1.119585,20,272.015007
1.120522,20,273.912942
1.12176,20,275.791238
1.121521,20,277.683188
