#{"t_start": 1673361826.7080061, "env_id": "WurtzExtract-v1"}
r,l,t
-0.666667,4,1.005027
0.333333,1,1.007565
-0.833333,8,1.063329
0.333333,3,1.077059
0.333333,4,1.103976
0.333333,12,1.178761
-2.666667,13,1.272505
-1.833333,12,1.359849
-1.833387,15,1.478241
-8.888711,23,1.685364
0.166667,2,1.697493
-0.833333,7,1.744829
0.166667,6,1.787566
-2.666667,7,1.827404
0.333333,2,1.836302
-2.666667,11,2.09954
-0.666667,10,2.167709
-1.833333,12,2.244792
0.333333,1,2.246696
0.333333,5,2.273935
-0.834002,8,2.334769
-0.833333,15,2.457064
0.333333,4,2.477224
0.166667,10,2.545669
-5.666667,13,2.629754
-3.832624,18,2.772972
-1.666667,12,2.852291
0.333333,2,2.860053
-0.666667,4,2.880545
-0.888961,7,2.935375
-4.666667,17,3.097698
0.333333,2,3.106575
0.333333,6,3.138915
0.333333,5,3.170083
-0.666667,2,3.178957
0.333333,2,3.188118
-2.833333,11,3.266371
0.333333,2,3.274242
-1.833333,9,3.335454
0.333333,2,3.343029
0.166667,3,3.36026
0.333333,2,3.369123
0.166667,5,3.412792
0.166667,4,3.436604
0.333333,1,3.438563
-2.666667,21,3.600379
0.333333,1,3.602312
0.333333,8,3.645206
-1.833333,6,3.684747
0.333333,18,3.82264
0.333333,1,3.826867
0.333333,2,3.835052
-2.888281,19,4.028676
0.333333,5,4.05459
-1.666667,4,4.076833
0.166667,9,4.141676
-3.666667,15,4.259403
0.166667,5,4.28949
-1.666667,8,4.348296
-0.666667,3,4.363222
0.333333,1,4.365383
0.166667,2,4.374929
0.166667,6,4.414866
0.166667,6,4.451053
0.333333,3,4.466633
0.166667,3,4.486816
0.166667,3,4.502035
0.333333,5,4.528389
-0.666667,3,4.542828
-0.833333,4,4.570289
0.333333,1,4.572297
-1.833333,14,4.669725
0.333333,2,4.677321
0.333333,3,4.691898
0.333333,3,4.705526
-2.833333,16,4.843642
-0.666667,6,4.878364
0.166667,3,4.895593
0.333333,1,4.897578
0.333333,3,4.914832
0.333333,2,4.922528
0.333333,5,4.949901
0.166667,6,4.988961
0.333333,1,4.990898
0.333333,3,5.004423
0.166667,3,5.020074
0.333333,1,5.022174
0.166667,2,5.03357
0.333333,2,5.041405
0.166667,3,5.056841
-1.666667,13,5.138148
0.333333,3,5.151573
0.333333,1,5.1537
0.333333,1,5.155597
0.166667,4,5.177128
0.333333,2,5.184774
0.333333,3,5.198392
-0.666667,5,5.225906
0.333333,2,5.233685
0.166667,2,5.24488
-1.832432,5,5.27814
0.333333,9,5.343179
0.333333,2,5.350996
-0.833333,9,5.411253
0.333333,7,5.453456
-0.666667,7,5.492743
-1.833333,20,5.679661
0.333333,1,5.681615
0.333333,2,5.689749
0.333333,1,5.691594
0.333333,2,5.699113
0.333333,7,5.752726
-1.833691,6,5.792453
0.333333,1,5.794383
0.333333,1,5.796436
-0.833333,4,5.82208
0.333333,1,5.824006
0.333333,1,5.82594
0.333333,5,5.853798
0.333333,7,5.897768
0.333333,6,5.934201
0.333333,2,5.941852
0.111111,3,5.960972
0.333333,2,5.968699
0.166667,4,5.995756
0.333333,3,6.00913
0.333333,2,6.016847
0.333333,2,6.02436
0.333333,1,6.026293
0.166667,2,6.037401
-0.833333,4,6.062533
0.166667,4,6.085068
-0.833333,7,6.130473
-1.833333,8,6.181332
-0.666667,4,6.202703
0.333333,3,6.216128
0.333333,1,6.218101
0.333333,2,6.225578
0.333333,1,6.227503
0.333333,3,6.240958
0.333333,1,6.242996
0.333333,1,6.245008
-0.888889,8,6.327084
0.166667,3,6.344467
0.333333,1,6.346491
0.333333,1,6.348432
0.166667,3,6.365778
0.333333,1,6.367693
0.333333,1,6.36963
0.333333,3,6.384872
0.333333,2,6.393719
0.166667,2,6.403208
0.333333,1,6.405103
0.333333,1,6.40702
0.333333,1,6.408934
0.333333,1,6.410939
0.333333,1,6.412866
0.333333,1,6.414973
0.333333,3,6.428485
0.333333,4,6.448372
0.333333,2,6.455961
0.333333,1,6.457872
0.333333,2,6.46683
0.166667,4,6.491216
0.166667,4,6.51597
0.333333,1,6.517889
-0.833333,3,6.534631
0.333333,3,6.549414
0.333333,1,6.551513
0.333333,2,6.560422
0.333333,2,6.567875
0.333333,1,6.569793
0.166667,3,6.587132
0.333333,1,6.589075
0.166667,2,6.598955
0.166667,5,6.628275
0.333333,2,6.637049
-0.833303,3,6.658081
-0.666667,9,6.718937
0.333333,1,6.784426
0.166667,3,6.809695
0.333333,4,6.830921
0.333333,2,6.838891
0.333333,1,6.840855
0.166667,2,6.852324
0.333333,4,6.874038
0.333333,1,6.876021
0.333333,1,6.877972
0.166667,6,6.912623
0.333333,2,6.921503
0.333333,3,6.935141
-0.666667,5,6.963861
